"Name","lr","momentum","weight_decay","batch_perplexity","best_val_accuracy","raw_grad_norm","train_loss","val_accuracy","val_correct"
"fearless-sweep-83","0.0009758092996306232","0.970344098767705","0.00723836206773518","1.0661836862564087","0.868","2.9449260799940875","0.06408558785915375","0.868","868"
"super-sweep-80","0.0014844960333253786","0.9454988625043176","0.007446924119379489","1.0776114463806152","0.908","1.7932932497477942","0.07474695891141891","0.908","908"
"sweet-sweep-79","0.0009404539353050044","0.988795322157092","0.0061549752399057455","1.0606544017791748","0.918","3.0577120627826564","0.0588860809803009","0.918","918"
"major-sweep-74","0.001241834502992665","0.9416929043343883","0.010463288286148278","1.1188055276870728","0.865","2.857255093284453","0.11226162314414978","0.865","865"
"bumbling-sweep-71","0.0009021267359207596","0.9846439350861976","0.0030903756002105165","1.0838931798934937","0.912","3.578656433541068","0.08055935055017471","0.912","912"
"comfy-sweep-66","0.0011020039022935752","0.9586597933002104","0.004513674296853354","1.1101837158203125","0.852","2.756180245152069","0.10452554374933244","0.852","852"
"stellar-sweep-63","0.0013241704879037618","0.9905773286641636","0.003220851327023062","1.0636680126190186","0.918","1.0017328796907703","0.0617232508957386","0.918","918"
"trim-sweep-59","0.0009662555835520232","0.9905312963459956","0.0030883467260687074","1.0617274045944214","0.893","1.5137219797831607","0.05989710986614227","0.893","893"
"classic-sweep-57","0.0014210073250914997","0.9866084388038664","0.009380151824044027","1.1022976636886597","0.905","1.0182676635188257","0.09739687293767928","0.905","905"
"royal-sweep-56","0.0012941465457065346","0.929719969448631","0.003092956905980581","1.1017566919326782","0.895","2.8218741671555905","0.09690595418214798","0.895","895"
"glamorous-sweep-53","0.0009984696080337782","0.9955159184042588","0.005137524688076202","1.0702049732208252","0.887","1.5997666280994072","0.067850261926651","0.887","887"
"hearty-sweep-51","0.0013121070094222129","0.949074999540421","0.006665298872405606","1.0998866558074951","0.89","2.1371907903750387","0.0952071249485016","0.89","890"
"fresh-sweep-48","0.0011532923896881255","0.9501445285909776","0.006523907701515587","1.095736742019653","0.869","6.110207483868076","0.09142692387104034","0.869","869"
"ethereal-sweep-44","0.0008931090277328666","0.9794883269314036","0.006775327834399215","1.096954584121704","0.904","1.7477718067283343","0.09253784269094469","0.904","904"
"fine-sweep-36","0.0011554098522691574","0.9880544678887684","0.005780178635858819","1.0605733394622805","0.947","0.9806114423800902","0.05880964919924736","0.947","947"
"swept-sweep-23","0.0009051402076317484","0.9849152739181526","0.0058197002472113145","1.0843157768249512","0.915","1.7457844587664502","0.08094912767410278","0.915","915"
"rosy-sweep-21","0.0009737294001789628","0.9941338901849174","0.006130180732384782","1.0410466194152832","0.923","0.8412118812596715","0.0402265340089798","0.923","923"
"likely-sweep-20","0.0009555410895263056","0.9931107312292332","0.005713618923264541","1.0601072311401367","0.944","2.053624494740399","0.05837003141641617","0.944","944"
"magic-sweep-19","0.000997350954855151","0.9890636593158332","0.006126783534585886","1.0348560810089111","0.934","1.0152737597382195","0.03426235914230347","0.934","934"
"noble-sweep-18","0.0009274270611492456","0.9853406180637514","0.006753882466770091","1.0649981498718262","0.914","1.1372196037932698","0.0629730150103569","0.914","914"
"polar-sweep-11","0.0008987599721706956","0.9801067354059232","0.006689981197111351","1.074638843536377","0.917","1.5124232038582568","0.07198464870452881","0.917","917"
"graceful-sweep-8","0.0010721261228971183","0.9972051027324614","0.004574318670270947","1.0889530181884766","0.901","1.5331211018341129","0.08521673828363419","0.901","901"
"happy-sweep-6","0.0009829537956812368","0.9796996910197514","0.0052591448817927424","1.0542348623275757","0.925","1.4736808356024995","0.05281523242592811","0.925","925"
"likely-sweep-5","0.0009262527448614148","0.9858144852331644","0.005648718603013762","1.0813606977462769","0.91","1.2172465270817066","0.0782201960682869","0.91","910"
"drawn-sweep-4","0.0009207028454733556","0.9780950065714464","0.006822236706199058","1.0943294763565063","0.903","1.522773601377309","0.09014192968606947","0.903","903"
"effortless-sweep-3","0.0009417439070049612","0.9775823234020552","0.006669147124444864","1.0553916692733765","0.909","2.0592852860866815","0.053911883383989334","0.909","909"
"divine-sweep-2","0.0012692958425908106","0.947002875640542","0.007414921621988569","1.0766156911849976","0.884","2.4626071979741933","0.073822520673275","0.884","884"
"fluent-sweep-1","0.0011125732701392538","0.9178736555120848","0.00996577605267083","1.101137638092041","0.864","3.281049232267885","0.09634386748075484","0.864","864"
