script,run,epoch1_pearson,epoch1_accuracy,epoch1_combine,epoch2_pearson,epoch2_accuracy,epoch2_combine,epoch3_pearson,epoch3_accuracy,epoch3_combine,test_pearson,test_accuracy,test_combine
nlp_hw3_bert.py,-1,1,0.8521172166909771,0.832,0.8420586083454885,0.8650272916218308,0.858,0.8615136458109154,0.8634311128993923,0.86,0.8617155564496961,0.8708593351088744,0.8642175766186321,0.8675384558637532
nlp_hw3_bert.py,-1,2,0.8341914782610647,0.732,0.7830957391305323,0.8618215594849297,0.848,0.8549107797424649,0.8751872484773329,0.854,0.8645936242386665,0.8802410495263797,0.8688857316825654,0.8745633906044725
nlp_hw3_bert.py,-1,3,0.8247200039513244,0.804,0.8143600019756623,0.8564755127052613,0.848,0.8522377563526307,0.8555957831785659,0.834,0.8447978915892829,0.8691022280541602,0.8579257154455043,0.8635139717498322
nlp_hw3_bert.py,-1,4,0.8428459848920977,0.818,0.8304229924460489,0.867249600838404,0.84,0.853624800419202,0.8671455973231349,0.858,0.8625727986615674,0.8765251614390233,0.8621879439821393,0.8693565527105813
nlp_hw3_bert.py,-1,5,0.8432739652212157,0.836,0.8396369826106078,0.8626299078617244,0.856,0.8593149539308622,0.875953097547076,0.868,0.871976548773538,0.8803275645524614,0.8741627765374467,0.877245170544954
nlp_hw3_bert.py,-1,6,0.8353568569746788,0.712,0.7736784284873394,0.8724219025658297,0.852,0.8622109512829148,0.8695257133143197,0.85,0.8597628566571598,0.878616872392768,0.869291658209864,0.8739542653013159
nlp_hw3_bert.py,-1,7,0.8227425206891178,0.81,0.816371260344559,0.8660351744374369,0.852,0.8590175872187185,0.8719523113928903,0.85,0.8609761556964451,0.8782271408657037,0.8658412827278262,0.872034211796765
nlp_hw3_bert.py,-1,8,0.848353588440035,0.82,0.8341767942200174,0.864102318488209,0.834,0.8490511592441045,0.8729387308282648,0.856,0.8644693654141324,0.8769511508429837,0.8674649888370205,0.8722080698400021
nlp_hw3_bert.py,-1,9,0.839729739136102,0.816,0.827864869568051,0.8552574156101136,0.832,0.8436287078050568,0.8586916558419674,0.836,0.8473458279209837,0.876653805762021,0.8694946214735133,0.8730742136177672
nlp_hw3_bert.py,-1,10,0.8377549011616594,0.818,0.8278774505808297,0.8628298704496555,0.85,0.8564149352248278,0.8635620601489156,0.856,0.8597810300744577,0.8701983078104065,0.8632027603003857,0.8667005340553962
nlp_hw3_bert.py,0,1,0.8216157987658067,0.77,0.7958078993829034,0.8636450201575508,0.846,0.8548225100787754,0.8666955851687207,0.834,0.8503477925843603,0.8742786766918844,0.8703064745281104,0.8722925756099974
nlp_hw3_bert.py,0,2,0.8388624357377488,0.728,0.7834312178688744,0.8588367561471342,0.844,0.8514183780735671,0.8652617566790409,0.85,0.8576308783395205,0.8828918408611144,0.8707124010554089,0.8768021209582617
nlp_hw3_bert.py,0,3,0.8492806670916088,0.83,0.8396403335458044,0.8623722007685375,0.836,0.8491861003842687,0.8671220483344207,0.858,0.8625610241672104,0.8796297627899557,0.8674649888370205,0.8735473758134882
nlp_hw3_bert.py,0,4,0.8376075846973949,0.814,0.8258037923486974,0.8499078105862673,0.852,0.8509539052931336,0.8617187421361561,0.852,0.8568593710680781,0.873989032160505,0.8617820174548406,0.8678855248076729
nlp_hw3_bert.py,0,5,0.842153587897906,0.832,0.837076793948953,0.8650545784840028,0.854,0.8595272892420014,0.8657439052247939,0.868,0.8668719526123969,0.8774627813510886,0.8680738786279684,0.8727683299895285
nlp_hw3_bert.py,0,6,0.8427042903837618,0.72,0.7813521451918809,0.8561286291373625,0.842,0.8490643145686813,0.8649508024255578,0.866,0.8654754012127789,0.8760679677186565,0.8759894459102903,0.8760287068144734
nlp_hw3_bert.py,0,7,0.8418696917330161,0.836,0.838934845866508,0.8681680633448123,0.86,0.8640840316724061,0.8668306753804265,0.856,0.8614153376902132,0.8742759570254376,0.8680738786279684,0.871174917826703
nlp_hw3_bert.py,0,8,0.8395670538042259,0.73,0.784783526902113,0.8666122041279295,0.862,0.8643061020639647,0.8744169286331652,0.858,0.8662084643165826,0.8810363265513833,0.8696975847371625,0.8753669556442729
nlp_hw3_bert.py,0,9,0.8598952384515111,0.814,0.8369476192257554,0.8587102197845533,0.858,0.8583551098922766,0.8750040810699039,0.866,0.870502040534952,0.8810665454021956,0.8747716663283945,0.8779191058652951
nlp_hw3_bert.py,0,10,0.8432165877382642,0.82,0.831608293869132,0.8675650038259228,0.858,0.8627825019129614,0.873583540874989,0.832,0.8527917704374945,0.8721265755008805,0.8650294296732292,0.8685780025870549
nlp_hw3_bert.py,1,1,0.8208859956038927,0.814,0.8174429978019464,0.8615853054133563,0.856,0.8587926527066782,0.8655264150403235,0.854,0.8597632075201618,0.8746309705048595,0.8745687030647453,0.8745998367848025
nlp_hw3_bert.py,1,2,0.8520347870228618,0.788,0.820017393511431,0.8663718156810829,0.842,0.8541859078405414,0.870081090212035,0.862,0.8660405451060175,0.8761563582380035,0.8674649888370205,0.871810673537512
