script,run,epoch1_pearson,epoch1_accuracy,epoch1_combine,epoch2_pearson,epoch2_accuracy,epoch2_combine,epoch3_pearson,epoch3_accuracy,epoch3_combine,test_pearson,test_accuracy,test_combine
nlp_hw3_bert.py,1,0.8338,0.8300,0.8319,0.8488,0.8560,0.8524,0.8633,0.8480,0.8556,0.8815380321685775,0.8751775928556931,0.8783578125121353
nlp_hw3_bert.py,2,0.8272,0.8180,0.8226,0.8596,0.8480,0.8538,0.8789,0.8520,0.8655,0.8782020685440504,0.8719301806373047,0.8750661245906775
nlp_hw3_bert.py,3,0.8453,0.8340,0.8397,0.8667,0.8560,0.8614,0.8649,0.8500,0.8574,0.8743573588368329,0.8603612746092957,0.8673593167230642
nlp_hw3_bert.py,4,0.8637,0.7960,0.8299,0.8556,0.8540,0.8548,0.8579,0.8460,0.8519,0.8697562379392042,0.865638319464177,0.8676972787016906
nlp_hw3_bert.py,5,0.8273,0.8120,0.8196,0.8659,0.8460,0.8560,0.8571,0.8500,0.8536,0.8733403100879871,0.8577227521818551,0.8655315311349211
nlp_hw3_bert.py,6,0.8397,0.8040,0.8219,0.8645,0.8440,0.8542,0.8684,0.8480,0.8582,0.8775989015195491,0.8699005480008118,0.8737497247601804
nlp_hw3_bert.py,7,0.8356,0.8180,0.8268,0.8604,0.8780,0.8692,0.8609,0.8540,0.8574,0.8644188567407852,0.8737568500101481,0.8690878533754667
nlp_hw3_bert.py,8,0.8304,0.7060,0.7682,0.8577,0.8480,0.8528,0.8636,0.8460,0.8548,0.8759167059779784,0.8662472092551248,0.8710819576165516
nlp_hw3_bert.py,9,0.8261,0.8300,0.8281,0.8471,0.8580,0.8525,0.8748,0.8620,0.8684,0.8740624848379355,0.8759894459102903,0.8750259653741128
nlp_hw3_bert.py,10,0.8291,0.8120,0.8206,0.8540,0.8520,0.8530,0.8688,0.8500,0.8594,0.8765713962301447,0.8727420336919017,0.8746567149610232
nlp_hw3_bert.py,11,0.8257,0.8180,0.8218,0.8626,0.8620,0.8623,0.8592,0.8560,0.8576,0.8722793172620161,0.8625938705094378,0.8674365938857269
nlp_hw3_bert.py,12,0.8518,0.7200,0.7859,0.8646,0.8420,0.8533,0.8610,0.8600,0.8605,0.873719310311377,0.8593464582910493,0.8665328843012131
nlp_hw3_bert.py,13,0.8402,0.7760,0.8081,0.8541,0.8460,0.8500,0.8651,0.8620,0.8635,0.87533954403769,0.8694946214735133,0.8724170827556017
nlp_hw3_bert.py,14,0.8419,0.8060,0.8239,0.8496,0.8380,0.8438,0.8668,0.8460,0.8564,0.872485180711117,0.8629997970367363,0.8677424888739267
nlp_hw3_bert.py,15,0.8250,0.7320,0.7785,0.8596,0.8560,0.8578,0.8679,0.8460,0.8570,0.8745912160763847,0.8672620255733712,0.8709266208248779
nlp_hw3_bert.py,16,0.8280,0.8220,0.8250,0.8700,0.8520,0.8610,0.8727,0.8520,0.8623,0.8789018041350153,0.8658412827278262,0.8723715434314208
nlp_hw3_bert.py,17,0.8457,0.7840,0.8148,0.8538,0.8500,0.8519,0.8757,0.8680,0.8718,0.8769079205675696,0.867870915364319,0.8723894179659444
nlp_hw3_bert.py,18,0.8435,0.8260,0.8348,0.8545,0.8520,0.8532,0.8671,0.8520,0.8596,0.8752539871343294,0.8715242541100061,0.8733891206221678
nlp_hw3_bert.py,19,0.8362,0.8160,0.8261,0.8635,0.8500,0.8567,0.8554,0.8620,0.8587,0.8741504314030132,0.8690886949462148,0.871619563174614
nlp_hw3_bert.py,20,0.8269,0.8020,0.8145,0.8614,0.8620,0.8617,0.8593,0.8540,0.8566,0.8789081314113211,0.8703064745281104,0.8746073029697157
